net,length_um
cam_mod_01.camera_init_01.sender.data_temp\[4\],12.76
_0172_,12.7
_0491_,12.7
_0716_,12.7
_0416_,12.62
_0457_,12.6
_0304_,12.58
_0292_,12.36
_0633_,12.28
_0442_,12.2
_0021_,12.165
_0056_,12.165
_0089_,12.165
_0873_,12.16
_0645_,12.08
net44,12.02
net49,12.02
net50,12.02
_0042_,11.985
_0313_,11.84
_0533_,11.78
_0742_,11.78
_0193_,11.74
_0575_,11.74
_0872_,11.6
_0018_,11.48
net51,11.44
_0101_,11.325
_0068_,11.285
_0073_,11.285
vga_xvalid,11.24
_0161_,11.22
_0084_,11.205
_0759_,11.2
_0398_,10.92
_0422_,10.9
_0093_,10.865
_0170_,10.86
_0781_,10.84
_0738_,10.78
_0036_,10.745
_0274_,10.72
_0097_,10.705
_0288_,10.7
_0173_,10.64
_0294_,10.64
_0117_,10.48
_0246_,10.46
_0886_,10.46
_0174_,10.44
_0459_,10.44
_0377_,10.4
_0264_,10.32
cam_mod_01.camera_init_01.sender.data_temp\[21\],10.305
_0404_,10.28
_0845_,10.28
_0135_,10.24
_0740_,10.23
_0053_,10.22
_0038_,10.165
_0590_,10.14
_0328_,10.1
_0160_,9.98
sio_c_o,9.98
_0080_,9.865
_0858_,9.86
_0159_,9.82
_0551_,9.82
cam_mod_01.camera_init_01.sender.data_temp\[8\],9.82
_0570_,9.78
_0701_,9.74
_0104_,9.72
net43,9.64
net46,9.64
_0090_,9.62
_0452_,9.55
_0832_,9.52
_0444_,9.46
_0007_,9.445
_0077_,9.405
_0322_,9.4
_0231_,9.32
_0440_,9.32
_0064_,9.3
_0072_,9.225
_0772_,9.18
_0310_,9.14
_0372_,9.08
_0389_,9.08
_0308_,8.98
_0303_,8.94
_0201_,8.86
_0405_,8.8
_0632_,8.8
_0860_,8.8
_0817_,8.76
_0258_,8.64
_0100_,8.565
_0569_,8.32
_0344_,8.28
sys_clk_i,8.26
_0154_,8.22
_0610_,8.2
_0417_,8.14
_0079_,8.065
_0102_,8.025
_0141_,8.02
_0785_,7.8
_0103_,7.695
_0739_,7.68
_0049_,7.645
_0566_,7.64
_0413_,7.58
_0278_,7.36
_0403_,7.24
_0392_,7.22
_0767_,7.18
_0126_,7.14
_0057_,7.105
_0312_,7.1
_0034_,7.015
_0282_,6.88
_0652_,6.84
_0393_,6.76
_0092_,6.725
_0026_,6.685
_0043_,6.54
_0730_,6.53
_0270_,6.52
_0400_,6.42
_0060_,6.365
_0603_,6.32
_0718_,6.275
_0519_,6.24
net40,6.21
_0071_,6.185
_0468_,6.14
_0660_,6.14
_0760_,6.14
_0063_,6.04
_0006_,6.025
_0052_,5.965
_0083_,5.895
net45,5.75
_0081_,5.725
_0177_,5.72
_0859_,5.72
_0875_,5.72
_0099_,5.705
_0300_,5.68
_0446_,5.68
_0585_,5.68
vga_yvalid,5.53
xvclk_o,5.53
_0461_,5.38
net9,5.38
_0622_,5.36
_0027_,5.305
_0067_,5.28
_0016_,5.265
_0384_,5.22
_0029_,5.16
_0257_,5.16
_0819_,5.12
cam_mod_01.camera_init_01.sender.data_temp\[2\],5.08
_0030_,5.045
_0044_,5.045
_0197_,4.88
_0415_,4.88
net42,4.85
net47,4.85
net39,4.85
_0451_,4.8
net13,4.76
_0051_,4.7
_0808_,4.58
_0025_,4.555
_0187_,4.46
_0724_,4.42
_0851_,4.42
net41,4.39
net48,4.39
_0362_,4.36
_0802_,4.14
_0190_,4.08
_0062_,3.985
_0045_,3.965
_0766_,3.88
_0032_,3.865
_0050_,3.78
_0291_,3.76
_0158_,3.68
_0189_,3.68
_0648_,3.68
_0709_,3.64
_0385_,3.54
_0122_,3.53
_0031_,3.465
_0757_,3.42
_0069_,3.275
_0114_,3.22
_0423_,3.1
_0039_,3.005
_0787_,2.96
_0157_,2.76
_0183_,2.5
_0284_,2.5
_0454_,2.5
_0889_,2.5
_0028_,2.42
_0315_,2.4
_0058_,2.325
_0307_,2.28
_0059_,2.255
_0262_,2.16
_0825_,1.7
_0425_,1.38
_0719_,1.36
_0163_,1.14
_0200_,1.02
