net,length_um
vga_display_01.control.x_poi\[9\],27.72
_0203_,27.7
_0837_,27.64
_0143_,27.46
_0126_,27.44
_0816_,27.32
_0533_,27.26
_0803_,26.8
_0842_,26.8
_0543_,26.56
_0579_,26.38
vga_display_01.control.y_poi\[2\],26.27
_0244_,26.2
_0762_,26.17
vga_display_01.control.x_poi\[4\],25.9
_0418_,25.78
_0891_,25.76
cam_mod_01.camera_init_01.sender.count\[8\],25.76
_0866_,25.72
_0424_,25.54
_0450_,25.54
_0155_,25.4
_0693_,25.36
_0133_,25.18
_0179_,25.08
_0858_,25.02
vga_display_01.control.y_poi\[8\],24.94
_0198_,24.74
_0187_,24.72
_0683_,24.72
cam_mod_01.camera_init_01.data_send\[10\],24.72
_0402_,24.56
_0654_,24.46
cam_mod_01.camera_init_01.data_send\[3\],24.38
net46,24.24
_0694_,24.2
vga_display_01.control.x_poi\[10\],24.06
_0242_,24.02
_0421_,23.96
_0342_,23.92
_0703_,23.7
cam_mod_01.camera_init_01.sender.count\[2\],23.7
_0696_,23.65
_0120_,23.58
_0178_,23.46
_0784_,23.14
cam_mod_01.camera_init_01.sender.data_temp\[26\],23.08
_0752_,23.06
_0176_,22.88
cam_mod_01.camera_init_01.data_send\[15\],22.88
cam_mod_01.camera_init_01.sender.data_temp\[12\],22.82
_0741_,22.68
_0118_,22.62
_0532_,22.62
_0658_,22.62
_0194_,22.46
_0695_,21.84
_0158_,21.76
_0845_,21.76
vga_display_01.control.y_poi\[4\],21.62
_0771_,21.58
_0182_,21.36
_0647_,21.36
_0537_,21.12
_0183_,21.04
_0190_,20.9
cam_mod_01.camera_init_01.sender.data_temp\[18\],20.78
_0169_,20.44
_0172_,20.3
_0859_,20.1
_0715_,19.8
cam_mod_01.camera_init_01.sender.data_temp\[20\],19.745
cam_mod_01.camera_init_01.data_send\[14\],19.7
_0237_,19.58
_0701_,19.4
_0171_,19.28
cam_mod_01.camera_init_01.sender.data_temp\[17\],19.26
cam_mod_01.camera_init_01.sender.count\[19\],19.12
vga_display_01.control.x_poi\[6\],18.7
_0800_,18.5
vga_display_01.control.x_poi\[11\],18.42
_0297_,18.38
_0765_,18.26
_0207_,18.14
_0708_,17.94
_0736_,17.88
cam_mod_01.camera_init_01.sender.data_temp\[8\],17.86
_0605_,17.58
_0213_,17.42
_0247_,17.42
_0806_,17.32
_0645_,17.3
_0747_,17.3
_0710_,17.26
_0151_,17.24
_0702_,17.24
_0077_,17.105
_0501_,17.04
_0687_,17.02
cam_mod_01.camera_init_01.sender.data_temp\[7\],17
cam_mod_01.camera_init_01.sender.count\[5\],16.98
_0691_,16.96
_0594_,16.78
_0861_,16.74
_0745_,16.68
cam_mod_01.camera_init_01.init.count\[2\],16.66
cam_mod_01.camera_init_01.init.count\[10\],16.64
_0667_,16.32
_0797_,16.24
cam_mod_01.camera_init_01.sender.data_temp\[5\],16.24
cam_mod_01.camera_init_01.sender.count\[3\],16.22
cam_mod_01.camera_init_01.sender.data_temp\[15\],16.18
_0863_,16.1
vga_display_01.control.x_poi\[1\],16.1
_0539_,16.08
_0208_,15.92
_0700_,15.82
cam_mod_01.camera_init_01.data_send\[12\],15.8
cam_mod_01.camera_init_01.data_send\[7\],15.72
_0775_,15.64
_0720_,15.58
cam_mod_01.camera_init_01.sender.data_temp\[29\],15.495
_0364_,15.38
cam_mod_01.camera_init_01.sender.data_temp\[24\],15.38
_0243_,15.28
_0670_,15.22
_0214_,15.215
cam_mod_01.camera_init_01.sender.data_temp\[30\],15.1
vga_display_01.control.x_poi\[8\],14.96
net3,14.955
_0644_,14.94
_0602_,14.6
_0698_,14.6
cam_mod_01.camera_init_01.sender.data_temp\[19\],14.56
cam_mod_01.camera_init_01.data_send\[1\],14.54
_0245_,14.52
_0690_,14.44
cam_mod_01.camera_init_01.data_send\[6\],14.3
_0757_,14.26
cam_mod_01.camera_init_01.init.count\[1\],14.26
cam_mod_01.camera_init_01.sender.data_temp\[10\],14.24
cam_mod_01.camera_init_01.sender.data_temp\[9\],14.24
cam_mod_01.camera_init_01.data_send\[11\],14.06
_0627_,14.04
_0848_,14.04
_0678_,14.02
cam_mod_01.camera_init_01.sender.data_temp\[23\],14.02
_0442_,14
_0714_,13.98
_0339_,13.96
cam_mod_01.camera_init_01.data_send\[4\],13.86
_0555_,13.84
_0406_,13.8
_0640_,13.8
_0394_,13.78
cam_mod_01.camera_init_01.sender.data_temp\[22\],13.78
_0562_,13.68
_0578_,13.68
_0814_,13.64
cam_mod_01.camera_init_01.sender.count\[20\],13.64
_0588_,13.54
vga_display_01.control.x_poi\[3\],13.4
_0132_,13.38
cam_mod_01.camera_init_01.sender.data_temp\[31\],13.36
_0430_,13.34
_0860_,13.3
